START EXPERIMENT
2025-07-09 05:18:38.136088epoch[204/500] psnrTr:49.659792 lossTr:0.001320086187 lr:0.000205100614
2025-07-09 05:19:50.674444epoch[205/500] psnrTr:49.297333 lossTr:0.001373660052 lr:0.000204289883
2025-07-09 05:21:03.106102epoch[206/500] psnrTr:49.274362 lossTr:0.001358603709 lr:0.000203477600
2025-07-09 05:22:15.551138epoch[207/500] psnrTr:49.255529 lossTr:0.001353475964 lr:0.000202663799
2025-07-09 05:23:28.212959epoch[208/500] psnrTr:49.208801 lossTr:0.001379012479 lr:0.000201848511
2025-07-09 05:24:40.859337epoch[209/500] psnrTr:49.310942 lossTr:0.001375343185 lr:0.000201031769
2025-07-09 05:25:53.511756epoch[210/500] psnrTr:49.200391 lossTr:0.001367158140 lr:0.000200213603
2025-07-09 05:27:06.010830epoch[211/500] psnrTr:49.186350 lossTr:0.001365275704 lr:0.000199394048
2025-07-09 05:28:18.944565epoch[212/500] psnrTr:49.415656 lossTr:0.001322986325 lr:0.000198573135
2025-07-09 05:29:31.945372epoch[213/500] psnrTr:49.671181 lossTr:0.001332760905 lr:0.000197750896
2025-07-09 05:30:44.328827epoch[214/500] psnrTr:49.620677 lossTr:0.001328621875 lr:0.000196927365
2025-07-09 05:31:56.950711epoch[215/500] psnrTr:49.269407 lossTr:0.001374519314 lr:0.000196102573
2025-07-09 05:33:09.647170epoch[216/500] psnrTr:49.306777 lossTr:0.001367454766 lr:0.000195276553
2025-07-09 05:34:22.326428epoch[217/500] psnrTr:49.382538 lossTr:0.001333445078 lr:0.000194449338
2025-07-09 05:35:35.048562epoch[218/500] psnrTr:49.562288 lossTr:0.001335427980 lr:0.000193620960
2025-07-09 05:36:47.540838epoch[219/500] psnrTr:49.019579 lossTr:0.001369862119 lr:0.000192791452
2025-07-09 05:38:00.234055epoch[220/500] psnrTr:49.131890 lossTr:0.001356439665 lr:0.000191960847
2025-07-09 05:39:13.018831epoch[221/500] psnrTr:49.316789 lossTr:0.001345820376 lr:0.000191129178
2025-07-09 05:40:26.036226epoch[222/500] psnrTr:49.488169 lossTr:0.001342625474 lr:0.000190296477
2025-07-09 05:41:39.084148epoch[223/500] psnrTr:49.493997 lossTr:0.001342469477 lr:0.000189462778
2025-07-09 05:42:51.880751epoch[224/500] psnrTr:49.780922 lossTr:0.001335904002 lr:0.000188628113
2025-07-09 05:44:04.427446epoch[225/500] psnrTr:49.249690 lossTr:0.001339002862 lr:0.000187792515
2025-07-09 05:45:17.201546epoch[226/500] psnrTr:49.547043 lossTr:0.001331419800 lr:0.000186956017
2025-07-09 05:46:30.347721epoch[227/500] psnrTr:49.384291 lossTr:0.001327382051 lr:0.000186118653
2025-07-09 05:47:43.043686epoch[228/500] psnrTr:49.613747 lossTr:0.001309490181 lr:0.000185280455
2025-07-09 05:48:56.289372epoch[229/500] psnrTr:49.645232 lossTr:0.001302294550 lr:0.000184441456
2025-07-09 05:50:09.364818epoch[230/500] psnrTr:49.572336 lossTr:0.001317642163 lr:0.000183601689
2025-07-09 05:51:22.412540epoch[231/500] psnrTr:49.616661 lossTr:0.001364990603 lr:0.000182761188
2025-07-09 05:52:35.155731epoch[232/500] psnrTr:49.567324 lossTr:0.001336529385 lr:0.000181919987
2025-07-09 05:53:47.916707epoch[233/500] psnrTr:49.611891 lossTr:0.001342039555 lr:0.000181078117
2025-07-09 05:55:00.623005epoch[234/500] psnrTr:49.473969 lossTr:0.001354593551 lr:0.000180235612
2025-07-09 05:56:13.677422epoch[235/500] psnrTr:49.495687 lossTr:0.001336234389 lr:0.000179392506
2025-07-09 05:57:26.893468epoch[236/500] psnrTr:49.429108 lossTr:0.001343591604 lr:0.000178548832
2025-07-09 05:58:39.637949epoch[237/500] psnrTr:49.499101 lossTr:0.001332250657 lr:0.000177704622
2025-07-09 05:59:53.211293epoch[238/500] psnrTr:49.507873 lossTr:0.001330885570 lr:0.000176859912
2025-07-09 06:01:06.245340epoch[239/500] psnrTr:49.477067 lossTr:0.001352847205 lr:0.000176014733
2025-07-09 06:02:19.378862epoch[240/500] psnrTr:49.598847 lossTr:0.001337582944 lr:0.000175169119
2025-07-09 06:03:32.118486epoch[241/500] psnrTr:49.363190 lossTr:0.001368591911 lr:0.000174323103
2025-07-09 06:04:45.176394epoch[242/500] psnrTr:49.420938 lossTr:0.001373400562 lr:0.000173476720
2025-07-09 06:05:58.003597epoch[243/500] psnrTr:49.723765 lossTr:0.001312492765 lr:0.000172630002
2025-07-09 06:07:11.015307epoch[244/500] psnrTr:49.366264 lossTr:0.001354941051 lr:0.000171782983
2025-07-09 06:08:24.282994epoch[245/500] psnrTr:49.782946 lossTr:0.001310207183 lr:0.000170935696
2025-07-09 06:09:37.401965epoch[246/500] psnrTr:49.661445 lossTr:0.001329472987 lr:0.000170088175
2025-07-09 06:10:50.441967epoch[247/500] psnrTr:49.462395 lossTr:0.001339928363 lr:0.000169240452
2025-07-09 06:12:03.679536epoch[248/500] psnrTr:49.547696 lossTr:0.001346036326 lr:0.000168392563
2025-07-09 06:13:16.460989epoch[249/500] psnrTr:49.603552 lossTr:0.001330824336 lr:0.000167544539
2025-07-09 06:14:29.751760epoch[250/500] psnrTr:49.729548 lossTr:0.001318982802 lr:0.000166696415
2025-07-09 06:15:42.819582epoch[251/500] psnrTr:49.715093 lossTr:0.001326171448 lr:0.000165848224
2025-07-09 06:16:55.972672epoch[252/500] psnrTr:49.401293 lossTr:0.001366811688 lr:0.000165000000
2025-07-09 06:18:09.095932epoch[253/500] psnrTr:49.588877 lossTr:0.001328788232 lr:0.000164151776
2025-07-09 06:19:22.145340epoch[254/500] psnrTr:49.742082 lossTr:0.001313949353 lr:0.000163303585
2025-07-09 06:20:35.501802epoch[255/500] psnrTr:49.489787 lossTr:0.001351022278 lr:0.000162455461
2025-07-09 06:21:48.675480epoch[256/500] psnrTr:49.609836 lossTr:0.001321997726 lr:0.000161607437
2025-07-09 06:23:01.534818epoch[257/500] psnrTr:49.719877 lossTr:0.001309529413 lr:0.000160759548
2025-07-09 06:24:14.795247epoch[258/500] psnrTr:49.714363 lossTr:0.001312110340 lr:0.000159911825
2025-07-09 06:25:27.938201epoch[259/500] psnrTr:49.509223 lossTr:0.001331443316 lr:0.000159064304
2025-07-09 06:26:41.160261epoch[260/500] psnrTr:49.600132 lossTr:0.001328953076 lr:0.000158217017
2025-07-09 06:27:54.323730epoch[261/500] psnrTr:49.523327 lossTr:0.001315884525 lr:0.000157369998
2025-07-09 06:29:07.447074epoch[262/500] psnrTr:49.714386 lossTr:0.001299634110 lr:0.000156523280
2025-07-09 06:30:20.711038epoch[263/500] psnrTr:49.693714 lossTr:0.001317965798 lr:0.000155676897
2025-07-09 06:31:34.003100epoch[264/500] psnrTr:49.801222 lossTr:0.001343448879 lr:0.000154830881
2025-07-09 06:32:47.241936epoch[265/500] psnrTr:49.765129 lossTr:0.001298532938 lr:0.000153985267
2025-07-09 06:34:00.367965epoch[266/500] psnrTr:49.543896 lossTr:0.001323309261 lr:0.000153140088
2025-07-09 06:35:13.633694epoch[267/500] psnrTr:49.724822 lossTr:0.001300355420 lr:0.000152295378
2025-07-09 06:36:26.656691epoch[268/500] psnrTr:49.897803 lossTr:0.001296605566 lr:0.000151451168
2025-07-09 06:37:39.782446epoch[269/500] psnrTr:49.671783 lossTr:0.001296597649 lr:0.000150607494
2025-07-09 06:38:52.898183epoch[270/500] psnrTr:49.753826 lossTr:0.001300206641 lr:0.000149764388
2025-07-09 06:40:06.259600epoch[271/500] psnrTr:49.729753 lossTr:0.001283630379 lr:0.000148921883
2025-07-09 06:41:19.691099epoch[272/500] psnrTr:49.611391 lossTr:0.001299401163 lr:0.000148080013
2025-07-09 06:42:32.921993epoch[273/500] psnrTr:49.546821 lossTr:0.001354085165 lr:0.000147238812
2025-07-09 06:43:46.261297epoch[274/500] psnrTr:49.443148 lossTr:0.001300837495 lr:0.000146398311
2025-07-09 06:44:59.460441epoch[275/500] psnrTr:49.628947 lossTr:0.001319097239 lr:0.000145558544
2025-07-09 06:46:12.576542epoch[276/500] psnrTr:49.687206 lossTr:0.001328178332 lr:0.000144719545
2025-07-09 06:47:26.022232epoch[277/500] psnrTr:49.769922 lossTr:0.001308007399 lr:0.000143881347
2025-07-09 06:48:39.072548epoch[278/500] psnrTr:49.712974 lossTr:0.001316459617 lr:0.000143043983
2025-07-09 06:49:52.381217epoch[279/500] psnrTr:49.681796 lossTr:0.001337131369 lr:0.000142207485
2025-07-09 06:51:05.773984epoch[280/500] psnrTr:49.654109 lossTr:0.001328592072 lr:0.000141371887
2025-07-09 06:52:19.037708epoch[281/500] psnrTr:49.537603 lossTr:0.001355436165 lr:0.000140537222
2025-07-09 06:53:31.939407epoch[282/500] psnrTr:49.908035 lossTr:0.001312483917 lr:0.000139703523
2025-07-09 06:54:45.169138epoch[283/500] psnrTr:49.567758 lossTr:0.001328992192 lr:0.000138870822
2025-07-09 06:55:58.325443epoch[284/500] psnrTr:49.704204 lossTr:0.001318571856 lr:0.000138039153
2025-07-09 06:57:11.313833epoch[285/500] psnrTr:49.699612 lossTr:0.001320542651 lr:0.000137208548
2025-07-09 06:58:24.512177epoch[286/500] psnrTr:49.804420 lossTr:0.001302980352 lr:0.000136379040
2025-07-09 06:59:37.597887epoch[287/500] psnrTr:49.793123 lossTr:0.001316858456 lr:0.000135550662
2025-07-09 07:00:50.990729epoch[288/500] psnrTr:49.778230 lossTr:0.001314516063 lr:0.000134723447
2025-07-09 07:02:04.376752epoch[289/500] psnrTr:49.785365 lossTr:0.001308032195 lr:0.000133897427
2025-07-09 07:03:17.491254epoch[290/500] psnrTr:49.918514 lossTr:0.001291490160 lr:0.000133072635
2025-07-09 07:04:30.496491epoch[291/500] psnrTr:49.883326 lossTr:0.001287058811 lr:0.000132249104
2025-07-09 07:05:43.628194epoch[292/500] psnrTr:49.655484 lossTr:0.001352483639 lr:0.000131426865
2025-07-09 07:06:56.607221epoch[293/500] psnrTr:49.790673 lossTr:0.001310307649 lr:0.000130605952
2025-07-09 07:08:09.755753epoch[294/500] psnrTr:49.683736 lossTr:0.001304872334 lr:0.000129786397
2025-07-09 07:09:23.139012epoch[295/500] psnrTr:49.662355 lossTr:0.001315093134 lr:0.000128968231
2025-07-09 07:10:36.243011epoch[296/500] psnrTr:50.239803 lossTr:0.001251115813 lr:0.000128151489
2025-07-09 07:11:49.936175epoch[297/500] psnrTr:49.632486 lossTr:0.001299446099 lr:0.000127336201
2025-07-09 07:13:02.989373epoch[298/500] psnrTr:49.599301 lossTr:0.001327037229 lr:0.000126522400
2025-07-09 07:14:15.985387epoch[299/500] psnrTr:49.802251 lossTr:0.001308523351 lr:0.000125710117
2025-07-09 07:15:29.179673epoch[300/500] psnrTr:49.981019 lossTr:0.001282845158 lr:0.000124899386
2025-07-09 07:16:42.348887epoch[301/500] psnrTr:49.762605 lossTr:0.001311466563 lr:0.000124090239
2025-07-09 07:17:54.796734epoch[302/500] psnrTr:49.589479 lossTr:0.001312182634 lr:0.000123282706
2025-07-09 07:19:07.254957epoch[303/500] psnrTr:49.594173 lossTr:0.001322900760 lr:0.000122476820
2025-07-09 07:20:19.689087epoch[304/500] psnrTr:50.079051 lossTr:0.001276378753 lr:0.000121672613
2025-07-09 07:21:32.463051epoch[305/500] psnrTr:50.002247 lossTr:0.001270144363 lr:0.000120870116
2025-07-09 07:22:44.850939epoch[306/500] psnrTr:49.493394 lossTr:0.001324714511 lr:0.000120069361
2025-07-09 07:23:57.373165epoch[307/500] psnrTr:49.937722 lossTr:0.001289657084 lr:0.000119270381
2025-07-09 07:25:10.046228epoch[308/500] psnrTr:49.720061 lossTr:0.001310236170 lr:0.000118473205
2025-07-09 07:26:22.575093epoch[309/500] psnrTr:49.881172 lossTr:0.001294074813 lr:0.000117677867
2025-07-09 07:27:35.051358epoch[310/500] psnrTr:49.999881 lossTr:0.001285203965 lr:0.000116884396
2025-07-09 07:28:47.442074epoch[311/500] psnrTr:49.672429 lossTr:0.001304210862 lr:0.000116092825
2025-07-09 07:30:00.113586epoch[312/500] psnrTr:49.824909 lossTr:0.001303866156 lr:0.000115303185
2025-07-09 07:31:12.890316epoch[313/500] psnrTr:49.870899 lossTr:0.001318688388 lr:0.000114515507
2025-07-09 07:32:25.605872epoch[314/500] psnrTr:49.980063 lossTr:0.001285812701 lr:0.000113729822
2025-07-09 07:33:38.158468epoch[315/500] psnrTr:49.645800 lossTr:0.001319615170 lr:0.000112946161
2025-07-09 07:34:51.197831epoch[316/500] psnrTr:50.066439 lossTr:0.001264061546 lr:0.000112164555
2025-07-09 07:36:03.818718epoch[317/500] psnrTr:50.023077 lossTr:0.001272944151 lr:0.000111385035
2025-07-09 07:37:16.481682epoch[318/500] psnrTr:49.946255 lossTr:0.001310992986 lr:0.000110607631
2025-07-09 07:38:29.228873epoch[319/500] psnrTr:49.761260 lossTr:0.001294145710 lr:0.000109832375
2025-07-09 07:39:41.868381epoch[320/500] psnrTr:50.011432 lossTr:0.001273964415 lr:0.000109059297
2025-07-09 07:40:54.469713epoch[321/500] psnrTr:49.731788 lossTr:0.001322049880 lr:0.000108288427
2025-07-09 07:42:07.527103epoch[322/500] psnrTr:50.064276 lossTr:0.001270224457 lr:0.000107519796
2025-07-09 07:43:20.582097epoch[323/500] psnrTr:49.782711 lossTr:0.001320177107 lr:0.000106753434
2025-07-09 07:44:33.377334epoch[324/500] psnrTr:49.963425 lossTr:0.001291611814 lr:0.000105989372
2025-07-09 07:45:45.990502epoch[325/500] psnrTr:49.791878 lossTr:0.001282385318 lr:0.000105227639
2025-07-09 07:46:58.779082epoch[326/500] psnrTr:50.207290 lossTr:0.001229084213 lr:0.000104468266
2025-07-09 07:48:11.577248epoch[327/500] psnrTr:49.987832 lossTr:0.001266535022 lr:0.000103711283
2025-07-09 07:49:24.506917epoch[328/500] psnrTr:49.861685 lossTr:0.001312439563 lr:0.000102956719
2025-07-09 07:50:37.396139epoch[329/500] psnrTr:49.975505 lossTr:0.001281013596 lr:0.000102204604
2025-07-09 07:51:50.361124epoch[330/500] psnrTr:49.948133 lossTr:0.001300134929 lr:0.000101454969
2025-07-09 07:53:03.268630epoch[331/500] psnrTr:50.028479 lossTr:0.001282417448 lr:0.000100707843
2025-07-09 07:54:16.226413epoch[332/500] psnrTr:49.682667 lossTr:0.001313194050 lr:0.000099963254
2025-07-09 07:55:29.049496epoch[333/500] psnrTr:49.753230 lossTr:0.001291437540 lr:0.000099221233
2025-07-09 07:56:41.971044epoch[334/500] psnrTr:50.069311 lossTr:0.001281565055 lr:0.000098481809
2025-07-09 07:57:54.932691epoch[335/500] psnrTr:49.911613 lossTr:0.001299731433 lr:0.000097745011
2025-07-09 07:59:07.773507epoch[336/500] psnrTr:49.751296 lossTr:0.001294055721 lr:0.000097010868
2025-07-09 08:00:21.006575epoch[337/500] psnrTr:50.069228 lossTr:0.001274627168 lr:0.000096279409
2025-07-09 08:01:33.790576epoch[338/500] psnrTr:49.889260 lossTr:0.001288603758 lr:0.000095550663
2025-07-09 08:02:46.860840epoch[339/500] psnrTr:50.007539 lossTr:0.001272580586 lr:0.000094824659
2025-07-09 08:04:00.133939epoch[340/500] psnrTr:49.802006 lossTr:0.001313762041 lr:0.000094101425
2025-07-09 08:05:12.930923epoch[341/500] psnrTr:50.103027 lossTr:0.001281872974 lr:0.000093380990
2025-07-09 08:06:25.938868epoch[342/500] psnrTr:50.070583 lossTr:0.001281376113 lr:0.000092663383
2025-07-09 08:07:39.136187epoch[343/500] psnrTr:49.721303 lossTr:0.001333609805 lr:0.000091948631
2025-07-09 08:08:52.152334epoch[344/500] psnrTr:50.188458 lossTr:0.001243220293 lr:0.000091236763
2025-07-09 08:10:04.954051epoch[345/500] psnrTr:49.951026 lossTr:0.001279196003 lr:0.000090527807
2025-07-09 08:11:18.152890epoch[346/500] psnrTr:50.085539 lossTr:0.001260452089 lr:0.000089821792
2025-07-09 08:12:31.234483epoch[347/500] psnrTr:50.156856 lossTr:0.001258967444 lr:0.000089118744
2025-07-09 08:13:45.637395epoch[348/500] psnrTr:50.021993 lossTr:0.001238076366 lr:0.000088418692
2025-07-09 08:14:59.906274epoch[349/500] psnrTr:49.814269 lossTr:0.001297610812 lr:0.000087721663
2025-07-09 08:16:13.891265epoch[350/500] psnrTr:49.989411 lossTr:0.001267188112 lr:0.000087027685
2025-07-09 08:17:27.866630epoch[351/500] psnrTr:50.075890 lossTr:0.001245791093 lr:0.000086336785
2025-07-09 08:18:42.040799epoch[352/500] psnrTr:50.105722 lossTr:0.001286047511 lr:0.000085648991
2025-07-09 08:19:56.094105epoch[353/500] psnrTr:50.114198 lossTr:0.001268903143 lr:0.000084964329
2025-07-09 08:21:10.141655epoch[354/500] psnrTr:49.873096 lossTr:0.001304031233 lr:0.000084282827
2025-07-09 08:22:24.340710epoch[355/500] psnrTr:49.914161 lossTr:0.001296458184 lr:0.000083604512
2025-07-09 08:23:38.464142epoch[356/500] psnrTr:50.239334 lossTr:0.001232948154 lr:0.000082929410
2025-07-09 08:24:52.750039epoch[357/500] psnrTr:50.011911 lossTr:0.001271225745 lr:0.000082257548
2025-07-09 08:26:06.925964epoch[358/500] psnrTr:50.209805 lossTr:0.001252532005 lr:0.000081588952
2025-07-09 08:27:21.074171epoch[359/500] psnrTr:50.229724 lossTr:0.001245134277 lr:0.000080923650
2025-07-09 08:28:34.946485epoch[360/500] psnrTr:50.216186 lossTr:0.001258306787 lr:0.000080261666
2025-07-09 08:29:49.150666epoch[361/500] psnrTr:50.133440 lossTr:0.001273482805 lr:0.000079603028
2025-07-09 08:31:03.037541epoch[362/500] psnrTr:50.032335 lossTr:0.001277497737 lr:0.000078947761
2025-07-09 08:32:16.985468epoch[363/500] psnrTr:50.446359 lossTr:0.001228264067 lr:0.000078295892
2025-07-09 08:33:31.028539epoch[364/500] psnrTr:50.244595 lossTr:0.001243061153 lr:0.000077647445
2025-07-09 08:34:45.420381epoch[365/500] psnrTr:49.927018 lossTr:0.001314566704 lr:0.000077002447
2025-07-09 08:35:59.235710epoch[366/500] psnrTr:50.046606 lossTr:0.001270125620 lr:0.000076360923
2025-07-09 08:37:13.213412epoch[367/500] psnrTr:50.203979 lossTr:0.001243334496 lr:0.000075722898
2025-07-09 08:38:27.295329epoch[368/500] psnrTr:50.108064 lossTr:0.001284554368 lr:0.000075088398
2025-07-09 08:39:41.327980epoch[369/500] psnrTr:50.160923 lossTr:0.001286034239 lr:0.000074457447
2025-07-09 08:40:55.571957epoch[370/500] psnrTr:50.140814 lossTr:0.001256946940 lr:0.000073830071
2025-07-09 08:42:09.756407epoch[371/500] psnrTr:50.085415 lossTr:0.001260844292 lr:0.000073206294
2025-07-09 08:43:23.714751epoch[372/500] psnrTr:49.874471 lossTr:0.001295431051 lr:0.000072586141
2025-07-09 08:44:37.946747epoch[373/500] psnrTr:50.458441 lossTr:0.001219098573 lr:0.000071969636
2025-07-09 08:45:52.030238epoch[374/500] psnrTr:49.943011 lossTr:0.001278873300 lr:0.000071356804
2025-07-09 08:47:06.177044epoch[375/500] psnrTr:50.248830 lossTr:0.001236756798 lr:0.000070747668
2025-07-09 08:48:20.141110epoch[376/500] psnrTr:49.995464 lossTr:0.001264515449 lr:0.000070142254
2025-07-09 08:49:34.058832epoch[377/500] psnrTr:49.918096 lossTr:0.001276218100 lr:0.000069540585
2025-07-09 08:50:48.026433epoch[378/500] psnrTr:50.145095 lossTr:0.001266527339 lr:0.000068942684
2025-07-09 08:52:02.225282epoch[379/500] psnrTr:50.344218 lossTr:0.001254171948 lr:0.000068348575
2025-07-09 08:53:16.325434epoch[380/500] psnrTr:50.042791 lossTr:0.001277065719 lr:0.000067758282
2025-07-09 08:54:30.358109epoch[381/500] psnrTr:50.203985 lossTr:0.001254128176 lr:0.000067171827
2025-07-09 08:55:44.457518epoch[382/500] psnrTr:50.234336 lossTr:0.001243123203 lr:0.000066589235
2025-07-09 08:56:58.573620epoch[383/500] psnrTr:50.039673 lossTr:0.001282618148 lr:0.000066010528
2025-07-09 08:58:12.542042epoch[384/500] psnrTr:50.116076 lossTr:0.001280192519 lr:0.000065435729
2025-07-09 08:59:26.567432epoch[385/500] psnrTr:49.813278 lossTr:0.001291158609 lr:0.000064864861
2025-07-09 09:00:40.925590epoch[386/500] psnrTr:50.051809 lossTr:0.001244596904 lr:0.000064297945
2025-07-09 09:01:54.932495epoch[387/500] psnrTr:50.444585 lossTr:0.001243331702 lr:0.000063735006
2025-07-09 09:03:08.914090epoch[388/500] psnrTr:50.294193 lossTr:0.001248127781 lr:0.000063176064
2025-07-09 09:04:23.101168epoch[389/500] psnrTr:50.078761 lossTr:0.001251345151 lr:0.000062621141
2025-07-09 09:05:37.243474epoch[390/500] psnrTr:50.413385 lossTr:0.001240054495 lr:0.000062070261
2025-07-09 09:06:51.322191epoch[391/500] psnrTr:49.931500 lossTr:0.001284294995 lr:0.000061523444
2025-07-09 09:08:05.300293epoch[392/500] psnrTr:50.312436 lossTr:0.001239114325 lr:0.000060980712
2025-07-09 09:09:19.440521epoch[393/500] psnrTr:50.220676 lossTr:0.001266556559 lr:0.000060442087
2025-07-09 09:10:33.488778epoch[394/500] psnrTr:50.043178 lossTr:0.001303430297 lr:0.000059907589
2025-07-09 09:11:47.788641epoch[395/500] psnrTr:50.163912 lossTr:0.001233175863 lr:0.000059377241
2025-07-09 09:13:01.870422epoch[396/500] psnrTr:50.190782 lossTr:0.001254511299 lr:0.000058851062
2025-07-09 09:14:15.886465epoch[397/500] psnrTr:49.988286 lossTr:0.001281956909 lr:0.000058329073
2025-07-09 09:15:29.900673epoch[398/500] psnrTr:50.220732 lossTr:0.001259779907 lr:0.000057811296
2025-07-09 09:16:44.261353epoch[399/500] psnrTr:50.543349 lossTr:0.001247936743 lr:0.000057297751
2025-07-09 09:17:58.556451epoch[400/500] psnrTr:50.010728 lossTr:0.001281166216 lr:0.000056788457
2025-07-09 09:19:13.030198epoch[401/500] psnrTr:50.319527 lossTr:0.001243254053 lr:0.000056283435
2025-07-09 09:20:26.975716epoch[402/500] psnrTr:50.501085 lossTr:0.001240991871 lr:0.000055782706
2025-07-09 09:21:40.750869epoch[403/500] psnrTr:50.136477 lossTr:0.001264498220 lr:0.000055286288
2025-07-09 09:22:54.621374epoch[404/500] psnrTr:50.164665 lossTr:0.001254593953 lr:0.000054794201
2025-07-09 09:24:08.664132epoch[405/500] psnrTr:50.144795 lossTr:0.001254942385 lr:0.000054306465
2025-07-09 09:25:22.534753epoch[406/500] psnrTr:50.423300 lossTr:0.001234026393 lr:0.000053823099
2025-07-09 09:26:36.539888epoch[407/500] psnrTr:50.250719 lossTr:0.001250157598 lr:0.000053344122
2025-07-09 09:27:50.356495epoch[408/500] psnrTr:50.061152 lossTr:0.001294377143 lr:0.000052869554
2025-07-09 09:29:04.292204epoch[409/500] psnrTr:50.185203 lossTr:0.001289804350 lr:0.000052399411
2025-07-09 09:30:18.328783epoch[410/500] psnrTr:50.106554 lossTr:0.001271506771 lr:0.000051933715
2025-07-09 09:31:32.273818epoch[411/500] psnrTr:50.281912 lossTr:0.001237095450 lr:0.000051472481
2025-07-09 09:32:46.187420epoch[412/500] psnrTr:50.128688 lossTr:0.001277319738 lr:0.000051015730
2025-07-09 09:34:00.292279epoch[413/500] psnrTr:50.242440 lossTr:0.001277913572 lr:0.000050563479
2025-07-09 09:35:14.269426epoch[414/500] psnrTr:50.377759 lossTr:0.001214240096 lr:0.000050115745
2025-07-09 09:36:28.432875epoch[415/500] psnrTr:50.042571 lossTr:0.001286671031 lr:0.000049672547
2025-07-09 09:37:42.381075epoch[416/500] psnrTr:50.234319 lossTr:0.001289460226 lr:0.000049233901
2025-07-09 09:38:56.220509epoch[417/500] psnrTr:49.852869 lossTr:0.001300692093 lr:0.000048799826
2025-07-09 09:40:10.175055epoch[418/500] psnrTr:50.435161 lossTr:0.001246799016 lr:0.000048370339
2025-07-09 09:41:24.242792epoch[419/500] psnrTr:50.310175 lossTr:0.001237133285 lr:0.000047945455
2025-07-09 09:42:38.131577epoch[420/500] psnrTr:50.133307 lossTr:0.001261436497 lr:0.000047525193
2025-07-09 09:43:52.000137epoch[421/500] psnrTr:50.372818 lossTr:0.001225230051 lr:0.000047109569
2025-07-09 09:45:06.012359epoch[422/500] psnrTr:50.661432 lossTr:0.001193744014 lr:0.000046698598
2025-07-09 09:46:19.809566epoch[423/500] psnrTr:50.194901 lossTr:0.001256291522 lr:0.000046292298
2025-07-09 09:47:33.941502epoch[424/500] psnrTr:49.809186 lossTr:0.001296319650 lr:0.000045890684
2025-07-09 09:48:47.909881epoch[425/500] psnrTr:50.183137 lossTr:0.001269101747 lr:0.000045493773
2025-07-09 09:50:01.924217epoch[426/500] psnrTr:50.451689 lossTr:0.001216697274 lr:0.000045101579
2025-07-09 09:51:15.749256epoch[427/500] psnrTr:50.313091 lossTr:0.001223794417 lr:0.000044714119
2025-07-09 09:52:29.707488epoch[428/500] psnrTr:50.130800 lossTr:0.001281579142 lr:0.000044331408
2025-07-09 09:53:43.486244epoch[429/500] psnrTr:50.324438 lossTr:0.001232363284 lr:0.000043953460
2025-07-09 09:54:57.326565epoch[430/500] psnrTr:50.364535 lossTr:0.001249123481 lr:0.000043580291
2025-07-09 09:56:11.357185epoch[431/500] psnrTr:50.292903 lossTr:0.001260991208 lr:0.000043211915
2025-07-09 09:57:25.490570epoch[432/500] psnrTr:50.475153 lossTr:0.001237174147 lr:0.000042848348
2025-07-09 09:58:39.677758epoch[433/500] psnrTr:50.278842 lossTr:0.001263017068 lr:0.000042489603
2025-07-09 09:59:53.738882epoch[434/500] psnrTr:50.447867 lossTr:0.001230118563 lr:0.000042135694
2025-07-09 10:01:07.803587epoch[435/500] psnrTr:50.159351 lossTr:0.001256340765 lr:0.000041786636
2025-07-09 10:02:22.196826epoch[436/500] psnrTr:50.388681 lossTr:0.001224364503 lr:0.000041442442
2025-07-09 10:03:36.234924epoch[437/500] psnrTr:50.342883 lossTr:0.001255414914 lr:0.000041103126
2025-07-09 10:04:50.313218epoch[438/500] psnrTr:50.210489 lossTr:0.001252671587 lr:0.000040768701
2025-07-09 10:06:04.816598epoch[439/500] psnrTr:50.494209 lossTr:0.001210483373 lr:0.000040439180
2025-07-09 10:07:19.903307epoch[440/500] psnrTr:50.302908 lossTr:0.001269556233 lr:0.000040114577
2025-07-09 10:08:35.197506epoch[441/500] psnrTr:50.394371 lossTr:0.001213141135 lr:0.000039794904
2025-07-09 10:09:49.671723epoch[442/500] psnrTr:50.420970 lossTr:0.001230950118 lr:0.000039480174
2025-07-09 10:11:04.120603epoch[443/500] psnrTr:50.373645 lossTr:0.001239986508 lr:0.000039170400
2025-07-09 10:12:18.573297epoch[444/500] psnrTr:50.526164 lossTr:0.001248982735 lr:0.000038865593
2025-07-09 10:13:32.860507epoch[445/500] psnrTr:50.290864 lossTr:0.001227524597 lr:0.000038565765
2025-07-09 10:14:47.220929epoch[446/500] psnrTr:50.316661 lossTr:0.001214736491 lr:0.000038270929
2025-07-09 10:16:01.755221epoch[447/500] psnrTr:49.993428 lossTr:0.001280620694 lr:0.000037981096
2025-07-09 10:17:16.270155epoch[448/500] psnrTr:50.380654 lossTr:0.001245220308 lr:0.000037696278
2025-07-09 10:18:30.839341epoch[449/500] psnrTr:50.478580 lossTr:0.001249539200 lr:0.000037416485
2025-07-09 10:19:45.415075epoch[450/500] psnrTr:50.289987 lossTr:0.001246734872 lr:0.000037141729
2025-07-09 10:20:59.953919epoch[451/500] psnrTr:50.489121 lossTr:0.001219399972 lr:0.000036872020
2025-07-09 10:22:14.361640epoch[452/500] psnrTr:50.530955 lossTr:0.001229615416 lr:0.000036607370
